FollowUp_ID,Lead_ID,FollowUp_Date,Mode,Purpose,Outcome
FU000001,LEAD00001,2024-06-10,Site Visit Reminder,Site Visit Invitation,Not Interested
FU000002,LEAD00002,2026-10-19,WhatsApp,Introduction,Interested
FU000003,LEAD00003,2025-05-11,Email,Introduction,Neutral
FU000004,LEAD00004,2025-05-09,WhatsApp,Introduction,Requested Callback
FU000005,LEAD00005,2025-05-12,Meeting,Introduction,Neutral
FU000006,LEAD00005,2025-05-26,Meeting,Interest Check,Interested
FU000007,LEAD00005,2025-06-04,WhatsApp,Loan Guidance,No Response
FU000008,LEAD00005,2025-06-20,Meeting,Introduction,No Response
FU000009,LEAD00005,2025-07-04,Payment Discussion,Payment Follow-up,Converted
FU000010,LEAD00006,2025-07-07,Payment Discussion,Payment Follow-up,No Response
FU000011,LEAD00006,2025-07-13,Payment Discussion,Payment Follow-up,Converted
FU000012,LEAD00007,2026-09-30,Call,Introduction,Interested
FU000013,LEAD00007,2026-10-21,WhatsApp,Interest Check,No Response
FU000014,LEAD00007,2026-11-17,Call,Interest Check,Interested
FU000015,LEAD00008,2025-12-13,Call,Introduction,Interested
FU000016,LEAD00008,2025-12-26,WhatsApp,Re-engagement,Neutral
FU000017,LEAD00009,2025-04-24,Call,Introduction,Not Interested
FU000018,LEAD00010,2026-02-08,Meeting,Introduction,Neutral
FU000019,LEAD00011,2026-08-18,WhatsApp,Introduction,Not Interested
FU000020,LEAD00012,2025-09-03,Call,Introduction,Requested Callback
FU000021,LEAD00013,2026-10-11,Meeting,Introduction,Not Interested
FU000022,LEAD00014,2025-06-23,WhatsApp,Introduction,No Response
FU000023,LEAD00015,2024-06-11,Site Visit Reminder,Site Visit Invitation,Neutral
FU000024,LEAD00015,2024-06-29,Call,Payment Follow-up,Interested
FU000025,LEAD00015,2024-06-29,Call,Payment Follow-up,Interested
FU000026,LEAD00016,2024-06-06,Email,Introduction,Not Interested
FU000027,LEAD00016,2024-06-26,Call,Site Visit Invitation,Interested
FU000028,LEAD00016,2024-07-15,Meeting,Booking Confirmation,Not Interested
FU000029,LEAD00017,2024-01-25,WhatsApp,Introduction,Not Interested
FU000030,LEAD00018,2026-06-08,Call,Introduction,No Response
FU000031,LEAD00018,2026-06-20,Payment Discussion,Payment Follow-up,Neutral
FU000032,LEAD00018,2026-07-05,Call,Price Negotiation,Requested Callback
FU000033,LEAD00019,2026-11-02,Call,Introduction,Neutral
FU000034,LEAD00019,2026-11-20,Loan Assistance,Loan Guidance,No Response
FU000035,LEAD00019,2026-11-20,Loan Assistance,Loan Guidance,No Response
FU000036,LEAD00020,2026-03-23,Email,Introduction,Interested
FU000037,LEAD00020,2026-04-04,Meeting,Site Visit Invitation,No Response
FU000038,LEAD00020,2026-04-27,Call,Document Collection,No Response
FU000039,LEAD00020,2026-04-27,Call,Document Collection,No Response
FU000040,LEAD00020,2026-05-18,Loan Assistance,Loan Guidance,No Response
FU000041,LEAD00020,2026-05-18,Loan Assistance,Loan Guidance,No Response
FU000042,LEAD00021,2025-08-19,Site Visit Reminder,Site Visit Invitation,Not Interested
FU000043,LEAD00021,2025-09-13,Call,Interest Check,No Response
FU000044,LEAD00021,2025-10-03,Site Visit Reminder,Site Visit Invitation,Neutral
FU000045,LEAD00021,2025-10-20,Meeting,Document Collection,Interested
FU000046,LEAD00021,2025-10-20,Meeting,Document Collection,Interested
FU000047,LEAD00021,2025-10-28,Email,Interest Check,Interested
FU000048,LEAD00022,2025-11-05,Call,Introduction,Not Interested
FU000049,LEAD00023,2025-05-19,WhatsApp,Introduction,No Response
FU000050,LEAD00023,2025-05-29,Email,Interest Check,No Response
FU000051,LEAD00023,2025-06-09,Meeting,Site Visit Invitation,No Response
