Visit_ID,Competitor,Visit_Date,Price_Score,Sales_Score,Amenities_Score,Trust_Score,Overall_Rating
CVISIT00001,Sobha Aurum,2026-09-08,6.1,7.9,9.0,8.0,8.3
CVISIT00002,Prestige,2024-06-05,8.0,7.9,8.9,7.5,7.8
CVISIT00003,Prestige,2024-10-22,6.6,7.8,7.7,7.3,7.4
CVISIT00004,Sobha Aurum,2024-11-29,8.2,7.6,9.5,7.9,8.6
CVISIT00005,Sobha Aurum,2024-08-03,6.4,9.3,9.2,6.5,8.0
CVISIT00006,Prestige,2024-01-23,5.9,7.5,7.6,5.8,6.4
CVISIT00007,Sobha Aurum,2026-02-07,7.7,6.3,8.3,8.3,7.7
CVISIT00008,Prestige,2026-06-01,5.7,8.5,8.1,7.9,7.7
CVISIT00009,Mahagun Manorial,2024-10-12,8.1,3.6,6.1,5.7,5.8
CVISIT00010,Sobha Aurum,2024-12-18,5.5,7.0,7.7,6.8,6.6
CVISIT00011,Sobha Aurum,2026-05-10,5.8,5.0,9.1,6.9,7.1
CVISIT00012,Sobha Aurum,2024-01-03,8.9,8.1,7.5,6.1,7.3
CVISIT00013,Mahagun Manorial,2024-06-26,4.9,6.2,6.8,5.1,5.3
CVISIT00014,Sobha Aurum,2025-03-26,6.3,6.5,9.6,7.0,7.7
CVISIT00015,Sobha Aurum,2025-07-12,7.1,5.6,8.5,8.2,7.4
CVISIT00016,Prestige,2025-08-25,5.8,9.2,9.2,7.7,7.7
CVISIT00017,Sobha Aurum,2024-05-03,8.5,8.7,7.4,10.0,8.7
CVISIT00018,Prestige,2024-12-08,5.5,7.0,7.5,7.9,7.5
CVISIT00019,Mahagun Manorial,2026-08-08,9.5,3.3,6.3,8.1,6.5
CVISIT00020,Sobha Aurum,2026-10-08,5.4,8.1,6.6,7.3,6.8
CVISIT00021,Prestige,2026-09-13,5.6,7.9,8.3,8.1,7.5
CVISIT00022,Sobha Aurum,2025-08-16,4.6,7.6,6.7,6.0,6.0
CVISIT00023,Mahagun Manorial,2025-04-20,7.3,7.7,6.2,5.1,6.9
CVISIT00024,Prestige,2024-05-12,7.3,7.5,9.0,8.1,8.0
CVISIT00025,Sobha Aurum,2026-02-13,5.6,7.2,7.1,6.1,6.8
CVISIT00026,Sobha Aurum,2026-01-27,6.3,6.0,8.9,8.8,7.6
CVISIT00027,Prestige,2026-07-31,5.3,8.7,7.4,7.8,7.8
CVISIT00028,Mahagun Manorial,2026-11-24,7.9,6.7,7.0,5.4,6.9
CVISIT00029,Prestige,2025-11-18,7.5,8.0,6.8,6.7,7.0
CVISIT00030,Prestige,2026-04-25,4.5,9.1,7.7,7.3,7.0
CVISIT00031,Sobha Aurum,2025-11-23,5.6,7.5,9.8,6.9,7.4
CVISIT00032,Sobha Aurum,2025-07-23,2.9,7.0,8.4,8.7,7.4
CVISIT00033,Prestige,2024-07-03,4.6,8.8,9.7,9.2,8.4
CVISIT00034,Sobha Aurum,2024-04-27,6.8,6.5,8.9,8.8,7.9
CVISIT00035,Mahagun Manorial,2025-02-02,8.2,5.5,7.3,6.3,6.8
CVISIT00036,Sobha Aurum,2026-07-15,8.1,6.2,7.6,7.6,7.7
CVISIT00037,Sobha Aurum,2025-04-07,6.6,7.9,8.2,8.8,7.7
CVISIT00038,Sobha Aurum,2024-08-05,6.3,7.3,9.2,7.6,8.0
CVISIT00039,Sobha Aurum,2024-08-04,7.0,7.6,7.8,7.6,7.4
CVISIT00040,Mahagun Manorial,2024-05-25,5.5,4.3,7.3,6.2,5.9
CVISIT00041,Prestige,2024-12-02,5.6,6.8,7.5,6.9,6.8
CVISIT00042,Mahagun Manorial,2026-10-11,8.7,3.6,6.6,6.1,5.8
CVISIT00043,Sobha Aurum,2026-07-28,7.0,7.8,9.8,7.0,7.9
CVISIT00044,Prestige,2025-07-17,6.0,7.2,6.2,10.0,7.4
CVISIT00045,Mahagun Manorial,2024-05-20,7.2,6.3,6.1,6.0,6.9
CVISIT00046,Mahagun Manorial,2024-11-11,7.3,6.6,6.2,6.8,6.3
CVISIT00047,Mahagun Manorial,2024-02-22,7.3,6.1,7.3,6.7,6.7
CVISIT00048,Sobha Aurum,2025-07-31,7.1,8.7,9.0,7.2,8.0
CVISIT00049,Mahagun Manorial,2026-04-15,7.5,6.9,5.9,4.4,5.7
CVISIT00050,Sobha Aurum,2024-03-22,7.6,7.6,8.5,7.6,8.0
CVISIT00051,Sobha Aurum,2025-02-26,6.2,7.4,7.9,7.8,7.3
CVISIT00052,Sobha Aurum,2026-03-19,3.6,6.6,8.2,6.7,6.5
CVISIT00053,Sobha Aurum,2025-11-10,6.3,7.2,8.6,9.3,7.9
CVISIT00054,Prestige,2025-11-03,6.0,7.6,6.9,8.7,7.3
CVISIT00055,Prestige,2024-12-21,6.5,7.6,8.1,7.5,7.3
CVISIT00056,Sobha Aurum,2025-06-27,7.4,7.5,7.7,7.6,7.4
CVISIT00057,Sobha Aurum,2025-01-17,7.2,5.4,8.5,7.8,7.2
CVISIT00058,Mahagun Manorial,2025-04-10,6.8,6.5,5.8,8.1,6.7
CVISIT00059,Mahagun Manorial,2024-08-08,7.6,7.0,5.8,5.5,6.8
CVISIT00060,Sobha Aurum,2026-07-29,7.3,7.7,8.5,7.5,7.9
CVISIT00061,Prestige,2024-04-18,5.1,7.2,7.6,9.3,7.7
CVISIT00062,Mahagun Manorial,2024-12-26,7.6,4.2,5.1,7.7,6.1
CVISIT00063,Prestige,2026-12-15,6.1,8.4,8.1,8.6,7.5
CVISIT00064,Mahagun Manorial,2025-08-31,8.0,6.5,5.2,5.8,6.6
CVISIT00065,Sobha Aurum,2025-07-17,5.0,5.7,8.8,7.4,6.8
CVISIT00066,Sobha Aurum,2026-01-31,6.1,7.9,9.4,7.9,7.7
CVISIT00067,Prestige,2024-07-03,7.7,7.7,8.3,8.4,7.9
CVISIT00068,Mahagun Manorial,2025-09-10,9.0,5.6,7.3,4.7,6.3
CVISIT00069,Mahagun Manorial,2026-02-22,7.1,4.9,5.6,7.2,5.5
CVISIT00070,Sobha Aurum,2024-07-14,5.9,5.6,9.4,7.5,7.2
CVISIT00071,Sobha Aurum,2026-07-26,6.3,6.4,7.8,6.9,6.8
CVISIT00072,Mahagun Manorial,2024-03-13,8.4,4.8,5.7,6.1,5.8
CVISIT00073,Mahagun Manorial,2026-10-20,9.1,5.0,5.6,5.2,6.2
CVISIT00074,Sobha Aurum,2026-12-05,6.3,6.6,7.2,7.0,6.5
CVISIT00075,Sobha Aurum,2025-08-12,4.9,6.2,9.0,9.4,7.5
CVISIT00076,Mahagun Manorial,2024-10-17,7.8,6.3,5.6,8.1,6.9
CVISIT00077,Mahagun Manorial,2025-10-02,8.9,4.3,6.8,7.4,6.5
CVISIT00078,Sobha Aurum,2025-11-20,5.4,6.8,7.1,7.1,6.7
CVISIT00079,Prestige,2024-08-15,5.9,8.2,7.2,7.5,7.0
CVISIT00080,Prestige,2026-01-08,8.1,8.6,8.4,8.2,8.4
CVISIT00081,Prestige,2024-01-16,4.2,8.7,6.2,7.7,7.3
CVISIT00082,Sobha Aurum,2025-03-19,6.8,6.0,8.3,7.6,7.3
CVISIT00083,Prestige,2024-06-26,5.6,5.9,5.6,8.0,5.9
CVISIT00084,Prestige,2024-12-23,7.7,7.2,8.0,7.7,7.9
CVISIT00085,Sobha Aurum,2024-10-13,6.4,7.3,7.0,8.5,6.9
CVISIT00086,Mahagun Manorial,2024-08-09,6.5,6.9,7.0,6.9,6.8
CVISIT00087,Sobha Aurum,2024-07-19,7.5,7.1,8.0,5.8,7.5
CVISIT00088,Sobha Aurum,2025-08-01,5.7,8.2,8.2,8.0,7.7
CVISIT00089,Mahagun Manorial,2024-11-22,5.9,6.2,7.5,6.1,6.2
CVISIT00090,Prestige,2026-01-12,4.3,7.9,7.2,8.6,7.1
CVISIT00091,Prestige,2024-11-10,6.7,7.1,8.8,7.8,8.1
CVISIT00092,Prestige,2026-11-08,5.4,7.0,7.1,9.0,7.2
CVISIT00093,Prestige,2026-07-12,5.7,5.4,9.0,10.0,8.0
CVISIT00094,Mahagun Manorial,2024-12-15,6.2,5.5,5.6,5.7,5.5
CVISIT00095,Mahagun Manorial,2025-12-01,7.9,7.3,5.3,7.3,6.8
CVISIT00096,Sobha Aurum,2024-12-04,6.1,8.2,7.3,7.8,7.0
CVISIT00097,Mahagun Manorial,2024-11-29,7.0,6.8,8.1,5.1,6.8
CVISIT00098,Mahagun Manorial,2026-01-29,7.7,7.0,6.7,6.1,7.3
CVISIT00099,Prestige,2024-06-02,9.1,5.0,6.1,8.7,7.1
CVISIT00100,Mahagun Manorial,2024-06-20,7.5,7.4,5.9,5.7,6.3
CVISIT00101,Prestige,2024-01-08,5.2,8.8,7.2,7.1,6.9
CVISIT00102,Prestige,2024-09-08,4.8,6.3,6.8,7.2,6.4
CVISIT00103,Prestige,2025-01-03,5.7,8.0,6.3,7.0,6.9
CVISIT00104,Prestige,2026-09-07,6.5,9.5,8.6,6.8,7.4
CVISIT00105,Sobha Aurum,2025-08-05,8.0,6.4,8.8,7.1,7.9
CVISIT00106,Mahagun Manorial,2025-02-18,6.3,5.5,7.5,6.6,6.8
CVISIT00107,Prestige,2024-05-28,6.1,7.9,8.1,6.1,7.3
CVISIT00108,Sobha Aurum,2025-04-20,6.3,7.7,9.8,8.9,8.5
CVISIT00109,Sobha Aurum,2025-09-21,3.2,7.2,8.4,8.0,6.5
CVISIT00110,Mahagun Manorial,2026-04-20,8.1,5.8,6.9,6.9,7.3
CVISIT00111,Mahagun Manorial,2025-11-04,7.4,6.5,6.3,6.7,6.5
CVISIT00112,Sobha Aurum,2025-08-04,7.3,7.0,8.9,6.7,8.0
CVISIT00113,Sobha Aurum,2024-07-10,5.7,7.7,8.2,6.0,7.2
CVISIT00114,Sobha Aurum,2026-10-03,6.0,6.7,7.0,8.2,7.1
CVISIT00115,Prestige,2025-09-02,4.6,7.4,8.3,8.1,7.4
CVISIT00116,Mahagun Manorial,2024-12-06,8.9,6.2,6.7,7.3,7.6
CVISIT00117,Sobha Aurum,2024-02-28,7.5,6.5,8.4,7.1,7.3
CVISIT00118,Sobha Aurum,2025-05-30,5.7,6.2,8.2,7.1,6.8
CVISIT00119,Mahagun Manorial,2026-02-05,4.7,5.5,7.2,6.2,6.4
CVISIT00120,Prestige,2025-07-12,4.7,7.8,6.2,9.6,7.2
CVISIT00121,Sobha Aurum,2024-06-04,7.1,5.5,7.6,6.2,6.1
CVISIT00122,Prestige,2025-05-30,5.1,8.4,6.7,8.7,7.6
CVISIT00123,Sobha Aurum,2025-07-23,7.4,7.2,9.2,7.2,7.3
CVISIT00124,Sobha Aurum,2024-02-02,6.0,6.0,8.6,7.7,7.1
CVISIT00125,Sobha Aurum,2024-03-10,6.9,5.4,9.2,8.8,8.0
CVISIT00126,Sobha Aurum,2026-12-25,7.4,7.1,9.6,7.1,8.1
CVISIT00127,Prestige,2025-10-08,5.9,8.1,6.6,8.6,6.7
CVISIT00128,Mahagun Manorial,2025-06-17,8.1,5.5,6.4,4.1,5.8
CVISIT00129,Prestige,2025-07-15,3.4,8.5,7.2,8.9,7.3
CVISIT00130,Prestige,2024-01-09,3.9,7.6,9.0,8.1,7.1
CVISIT00131,Prestige,2025-06-23,6.3,8.7,8.0,8.2,8.1
CVISIT00132,Mahagun Manorial,2026-10-30,8.7,5.6,5.6,5.6,6.2
CVISIT00133,Sobha Aurum,2024-12-26,6.4,7.0,7.3,8.4,7.2
CVISIT00134,Prestige,2024-01-08,5.6,7.9,7.0,8.7,8.0
CVISIT00135,Mahagun Manorial,2025-12-18,8.8,4.0,6.6,3.3,5.4
CVISIT00136,Sobha Aurum,2025-06-24,7.9,6.5,9.1,9.2,8.5
CVISIT00137,Prestige,2026-12-14,3.8,8.5,6.7,8.9,7.8
CVISIT00138,Sobha Aurum,2024-12-24,4.8,7.4,9.5,8.9,8.1
CVISIT00139,Prestige,2026-03-14,4.4,7.3,7.8,8.9,6.9
CVISIT00140,Mahagun Manorial,2025-11-24,7.4,6.5,5.9,6.7,6.9
CVISIT00141,Mahagun Manorial,2026-06-20,7.0,6.3,6.0,5.8,6.4
CVISIT00142,Prestige,2025-09-12,4.1,9.0,8.8,8.4,7.4
CVISIT00143,Prestige,2025-09-12,6.5,9.4,6.4,8.4,7.7
CVISIT00144,Mahagun Manorial,2026-08-16,6.7,6.9,6.4,7.6,6.8
CVISIT00145,Sobha Aurum,2026-11-07,6.5,6.5,8.0,6.7,7.0
CVISIT00146,Sobha Aurum,2026-12-13,6.2,5.6,8.8,7.3,6.9
CVISIT00147,Prestige,2026-12-11,6.0,10.0,9.0,7.6,8.6
CVISIT00148,Mahagun Manorial,2026-08-24,6.8,5.3,6.7,6.4,6.0
CVISIT00149,Sobha Aurum,2024-04-29,7.5,6.3,8.9,9.0,7.8
CVISIT00150,Prestige,2025-09-24,6.1,7.9,8.3,7.4,7.3
CVISIT00151,Sobha Aurum,2025-07-03,5.6,4.7,8.7,7.8,7.0
CVISIT00152,Sobha Aurum,2026-03-14,7.8,7.2,9.2,8.7,7.5
CVISIT00153,Prestige,2025-01-09,5.7,7.2,8.0,9.0,8.1
CVISIT00154,Mahagun Manorial,2025-11-22,6.7,6.9,6.7,6.3,6.7
CVISIT00155,Mahagun Manorial,2026-06-19,8.7,6.4,6.0,6.5,7.0
CVISIT00156,Sobha Aurum,2024-04-07,6.2,5.5,7.2,9.2,7.1
CVISIT00157,Prestige,2024-07-06,7.3,7.6,7.9,7.9,8.1
CVISIT00158,Sobha Aurum,2024-08-08,8.0,6.3,7.2,9.4,7.7
CVISIT00159,Sobha Aurum,2025-08-18,6.3,7.1,9.4,8.0,8.2
CVISIT00160,Sobha Aurum,2026-10-06,5.3,6.2,9.6,6.5,6.7
CVISIT00161,Prestige,2025-10-05,5.3,7.3,8.1,10.0,8.3
CVISIT00162,Sobha Aurum,2024-09-02,6.2,7.0,9.6,6.2,7.6
CVISIT00163,Mahagun Manorial,2024-06-29,5.7,4.6,6.3,5.4,5.6
CVISIT00164,Prestige,2025-12-01,5.8,7.0,7.9,9.0,7.8
CVISIT00165,Prestige,2025-10-31,6.3,6.9,8.6,7.2,6.9
CVISIT00166,Mahagun Manorial,2024-12-10,6.8,6.5,5.3,5.4,6.0
CVISIT00167,Sobha Aurum,2026-12-26,7.0,7.1,8.8,8.3,8.3
CVISIT00168,Sobha Aurum,2026-02-24,6.1,6.9,8.3,8.4,7.4
CVISIT00169,Sobha Aurum,2026-05-11,6.6,7.4,8.4,6.7,6.8
CVISIT00170,Sobha Aurum,2025-09-20,7.4,6.9,8.6,5.9,6.4
CVISIT00171,Prestige,2026-02-06,5.2,8.9,7.8,7.1,7.2
CVISIT00172,Prestige,2024-04-01,7.3,7.3,7.4,9.5,7.8
CVISIT00173,Sobha Aurum,2025-10-19,5.0,8.8,7.2,8.8,7.7
CVISIT00174,Sobha Aurum,2025-09-29,6.9,8.4,8.4,9.0,8.0
CVISIT00175,Mahagun Manorial,2025-03-06,6.3,6.4,9.2,6.6,6.9
CVISIT00176,Prestige,2026-12-20,7.7,7.9,8.1,7.8,7.4
CVISIT00177,Prestige,2024-03-29,5.4,8.2,9.4,8.6,8.3
CVISIT00178,Prestige,2024-01-10,6.4,7.1,7.4,9.6,7.6
CVISIT00179,Mahagun Manorial,2026-04-10,5.5,6.3,6.7,5.8,5.9
CVISIT00180,Prestige,2024-03-17,5.4,7.3,8.0,9.1,7.6
CVISIT00181,Mahagun Manorial,2026-05-08,7.4,4.9,5.9,7.1,5.8
CVISIT00182,Sobha Aurum,2024-08-04,6.3,6.5,9.4,9.9,8.1
CVISIT00183,Mahagun Manorial,2024-04-11,8.6,5.3,6.3,7.8,7.2
CVISIT00184,Sobha Aurum,2025-02-23,5.8,8.4,7.9,8.8,7.6
CVISIT00185,Mahagun Manorial,2025-03-29,8.7,6.5,6.8,6.1,6.8
CVISIT00186,Prestige,2025-05-01,5.3,9.9,7.7,8.8,8.3
CVISIT00187,Mahagun Manorial,2026-10-19,5.7,4.4,6.2,6.0,5.7
CVISIT00188,Sobha Aurum,2025-10-28,5.8,5.2,8.9,6.8,6.6
CVISIT00189,Mahagun Manorial,2026-09-17,6.4,4.9,6.8,5.9,5.4
CVISIT00190,Mahagun Manorial,2026-05-20,6.6,4.6,6.6,6.0,5.8
CVISIT00191,Prestige,2026-10-06,7.6,7.2,8.9,8.2,7.8
CVISIT00192,Sobha Aurum,2025-03-07,7.8,6.3,9.8,8.5,8.2
CVISIT00193,Mahagun Manorial,2024-03-19,7.7,5.5,5.0,5.2,5.5
CVISIT00194,Mahagun Manorial,2024-01-06,9.7,5.9,7.0,4.8,6.3
CVISIT00195,Mahagun Manorial,2025-03-29,8.2,6.7,6.3,6.0,6.8
CVISIT00196,Sobha Aurum,2024-03-15,6.2,8.0,7.8,8.9,8.0
CVISIT00197,Mahagun Manorial,2024-10-25,9.1,4.6,5.9,8.0,6.3
CVISIT00198,Prestige,2026-09-11,5.7,8.9,6.9,10.0,8.2
CVISIT00199,Mahagun Manorial,2025-06-13,6.8,6.5,7.0,7.0,6.7
CVISIT00200,Sobha Aurum,2025-09-07,5.6,5.7,8.5,8.4,6.9
CVISIT00201,Prestige,2026-12-24,6.7,8.4,7.0,9.9,7.8
CVISIT00202,Prestige,2026-10-01,6.2,7.9,7.6,8.3,7.7
CVISIT00203,Mahagun Manorial,2025-11-26,7.5,6.6,5.4,4.9,5.3
CVISIT00204,Sobha Aurum,2025-06-12,8.2,8.1,9.1,8.9,8.9
CVISIT00205,Prestige,2026-07-19,5.9,7.2,6.8,8.3,7.0
CVISIT00206,Prestige,2025-03-23,5.8,7.4,6.0,8.4,7.4
CVISIT00207,Sobha Aurum,2024-06-24,5.9,8.1,7.9,7.5,7.6
CVISIT00208,Prestige,2026-10-10,7.0,6.7,7.9,8.0,7.2
CVISIT00209,Prestige,2024-09-18,4.9,9.4,7.3,7.8,7.9
CVISIT00210,Mahagun Manorial,2024-03-08,7.4,5.9,8.1,6.8,6.8
CVISIT00211,Prestige,2025-05-14,5.6,8.5,8.5,8.1,7.6
CVISIT00212,Prestige,2024-07-07,7.0,5.8,6.9,6.3,7.0
CVISIT00213,Prestige,2024-10-16,6.0,8.1,7.7,8.2,7.5
CVISIT00214,Sobha Aurum,2025-05-23,6.2,8.3,8.5,8.8,8.4
CVISIT00215,Sobha Aurum,2024-01-17,5.3,9.0,7.8,5.9,6.7
CVISIT00216,Mahagun Manorial,2025-03-29,8.3,6.0,7.1,6.1,7.0
CVISIT00217,Prestige,2026-05-04,5.8,8.0,8.8,6.4,6.9
CVISIT00218,Sobha Aurum,2024-08-10,4.2,8.4,8.8,8.8,8.4
CVISIT00219,Prestige,2024-04-18,6.7,8.8,7.8,9.2,7.7
CVISIT00220,Sobha Aurum,2026-07-29,6.0,7.8,8.9,8.6,8.2
CVISIT00221,Prestige,2024-08-14,7.2,6.8,7.0,7.9,6.7
CVISIT00222,Prestige,2025-07-18,6.2,8.9,8.3,7.1,8.6
CVISIT00223,Mahagun Manorial,2025-04-22,7.2,5.4,5.9,6.0,6.4
CVISIT00224,Prestige,2024-05-19,8.7,7.4,9.7,8.0,8.6
CVISIT00225,Prestige,2026-02-06,7.0,8.1,5.2,8.7,7.4
CVISIT00226,Sobha Aurum,2024-06-20,6.3,7.9,10.0,7.1,7.8
CVISIT00227,Prestige,2025-09-29,6.5,8.5,7.8,8.6,8.5
CVISIT00228,Sobha Aurum,2025-12-20,5.6,5.9,8.1,7.7,7.1
CVISIT00229,Sobha Aurum,2026-02-25,5.3,8.8,7.2,7.8,7.0
CVISIT00230,Sobha Aurum,2024-11-14,5.2,7.7,9.2,6.3,7.5
CVISIT00231,Mahagun Manorial,2024-07-25,7.9,6.8,6.6,5.8,6.9
CVISIT00232,Mahagun Manorial,2025-12-23,9.4,4.0,6.2,6.8,6.3
CVISIT00233,Mahagun Manorial,2025-11-27,6.1,6.2,6.0,7.1,6.2
CVISIT00234,Mahagun Manorial,2025-09-29,6.7,6.2,7.2,4.6,6.3
CVISIT00235,Prestige,2024-10-24,4.2,8.8,8.5,9.3,7.7
CVISIT00236,Prestige,2026-07-16,3.4,8.9,6.5,7.8,6.6
CVISIT00237,Sobha Aurum,2025-11-23,7.2,6.7,9.0,6.8,7.3
CVISIT00238,Prestige,2024-03-03,7.5,7.3,7.0,8.0,7.8
CVISIT00239,Sobha Aurum,2024-05-02,7.0,6.5,9.5,6.6,7.9
CVISIT00240,Sobha Aurum,2026-01-05,5.4,7.1,7.1,7.8,6.6
CVISIT00241,Mahagun Manorial,2025-10-22,7.7,6.0,5.4,5.8,6.0
CVISIT00242,Prestige,2026-02-05,7.1,8.8,7.7,6.0,7.9
CVISIT00243,Mahagun Manorial,2026-05-05,8.5,6.9,7.1,6.1,7.2
CVISIT00244,Prestige,2026-12-28,8.3,7.6,6.9,9.6,8.1
CVISIT00245,Prestige,2025-07-01,5.0,6.6,7.9,8.0,7.1
CVISIT00246,Sobha Aurum,2024-03-19,6.8,9.1,7.9,6.6,7.4
CVISIT00247,Prestige,2025-05-08,4.4,8.4,8.1,6.8,7.1
