Lead_ID,Customer_ID,Lead_Date,Lead_Source,Campaign_ID,Project,Lead_Status,Interest_Score,Budget_Fit,Sales_Executive_ID
LEAD00001,CUST00001,2024-05-20,Google Ads,CAMP047,Godrej Riverine,Not Interested / Lost,6,Yes,EXEC24
LEAD00002,CUST00002,2026-10-08,Walk-In,,Godrej Riverine,New,7,Yes,EXEC19
LEAD00003,CUST00003,2025-04-21,Walk-In,,Godrej Riverine,New,6,Partial,EXEC13
LEAD00004,CUST00004,2025-04-26,Instagram,CAMP103,Godrej Riverine,New,2,Yes,EXEC27
LEAD00005,CUST00005,2025-04-23,Housing.com,,Godrej Riverine,Converted,8,Partial,EXEC12
LEAD00006,CUST00006,2025-06-29,Channel Partner,,Godrej Riverine,Converted,7,Yes,EXEC20
LEAD00007,CUST00007,2026-09-22,MagicBricks,,Godrej Riverine,New,3,Partial,EXEC08
LEAD00008,CUST00008,2025-11-20,Housing.com,,Godrej Riverine,Site Visit Scheduled,9,Yes,EXEC09
LEAD00009,CUST00009,2025-04-03,Referral,,Godrej Riverine,Not Interested / Lost,6,Yes,EXEC26
LEAD00010,CUST00009,2026-01-24,Metro Branding,CAMP008,Godrej Riverine,New,4,Yes,EXEC11
LEAD00011,CUST00009,2026-07-26,Google Search,,Godrej Riverine,Not Interested / Lost,5,Yes,EXEC27
LEAD00012,CUST00010,2025-08-17,Referral,,Godrej Riverine,Contacted,5,Partial,EXEC18
LEAD00013,CUST00011,2026-09-30,Housing.com,,Godrej Riverine,Not Interested / Lost,2,No,EXEC18
LEAD00014,CUST00012,2025-05-29,Channel Partner,,Godrej Riverine,Contacted,6,Yes,EXEC01
LEAD00015,CUST00013,2024-05-14,99acres,,Godrej Riverine,Site Visit Scheduled,6,No,EXEC12
LEAD00016,CUST00014,2024-05-13,Channel Partner,,Godrej Riverine,Not Interested / Lost,5,Yes,EXEC06
LEAD00017,CUST00015,2024-01-08,Walk-In,,Godrej Riverine,Not Interested / Lost,7,Yes,EXEC04
LEAD00018,CUST00016,2026-05-23,Instagram,CAMP130,Godrej Riverine,Negotiation,5,Partial,EXEC25
LEAD00019,CUST00017,2026-10-09,Facebook,CAMP061,Godrej Riverine,Contacted,5,Yes,EXEC30
LEAD00020,CUST00018,2026-03-17,MagicBricks,,Godrej Riverine,Contacted,9,Yes,EXEC06
LEAD00021,CUST00019,2025-07-28,Housing.com,,Godrej Riverine,Site Visit Scheduled,6,No,EXEC25
LEAD00022,CUST00019,2025-10-14,Google Search,,Godrej Riverine,Not Interested / Lost,4,No,EXEC28
LEAD00023,CUST00020,2025-04-20,Facebook,CAMP052,Godrej Riverine,Contacted,4,Yes,EXEC01
LEAD00024,CUST00021,2026-11-05,Google Ads,CAMP081,Godrej Riverine,Qualified,9,Partial,EXEC17
LEAD00025,CUST00022,2026-11-18,LinkedIn,CAMP108,Godrej Riverine,Qualified,1,Partial,EXEC25
LEAD00026,CUST00023,2026-10-05,LinkedIn,CAMP086,Godrej Riverine,Contacted,7,Partial,EXEC24
LEAD00027,CUST00023,2026-12-31,Metro Branding,CAMP144,Godrej Riverine,Not Interested / Lost,8,No,EXEC11
LEAD00028,CUST00024,2026-05-21,Google Search,,Godrej Riverine,Qualified,4,Yes,EXEC11
LEAD00029,CUST00025,2026-10-23,99acres,,Godrej Riverine,Not Interested / Lost,6,Yes,EXEC24
LEAD00030,CUST00026,2025-08-20,Housing.com,,Godrej Riverine,Contacted,4,Yes,EXEC17
LEAD00031,CUST00027,2024-11-12,Newspaper Insert,CAMP077,Godrej Riverine,Contacted,6,Partial,EXEC09
LEAD00032,CUST00028,2026-05-27,Google Ads,CAMP025,Godrej Riverine,Not Interested / Lost,3,Partial,EXEC20
LEAD00033,CUST00029,2026-02-17,Google Search,,Godrej Riverine,Qualified,3,Yes,EXEC08
LEAD00034,CUST00030,2025-09-19,Facebook,CAMP110,Godrej Riverine,Site Visit Scheduled,8,Partial,EXEC08
LEAD00035,CUST00031,2026-11-06,Google Search,,Godrej Riverine,Site Visit Scheduled,6,Partial,EXEC19
LEAD00036,CUST00032,2025-12-11,Google Ads,CAMP036,Godrej Riverine,Contacted,2,Partial,EXEC15
LEAD00037,CUST00033,2024-03-26,Channel Partner,,Godrej Riverine,Contacted,4,Yes,EXEC22
LEAD00038,CUST00034,2025-05-07,LinkedIn,CAMP035,Godrej Riverine,Site Visit Scheduled,7,Yes,EXEC02
LEAD00039,CUST00035,2024-06-28,Facebook,CAMP138,Godrej Riverine,Contacted,7,Partial,EXEC04
LEAD00040,CUST00036,2026-03-03,Housing.com,,Godrej Riverine,Not Interested / Lost,1,Partial,EXEC17
LEAD00041,CUST00037,2025-02-05,Google Ads,CAMP007,Godrej Riverine,Contacted,4,Yes,EXEC29
LEAD00042,CUST00038,2025-10-28,Housing.com,,Godrej Riverine,Not Interested / Lost,4,No,EXEC18
LEAD00043,CUST00039,2025-11-10,Metro Branding,CAMP046,Godrej Riverine,Negotiation,5,Yes,EXEC24
LEAD00044,CUST00040,2026-11-21,Walk-In,,Godrej Riverine,Converted,10,Yes,EXEC18
LEAD00045,CUST00040,2026-12-31,Google Ads,CAMP080,Godrej Riverine,Not Interested / Lost,3,No,EXEC14
LEAD00046,CUST00041,2026-10-10,Referral,,Godrej Riverine,Converted,7,No,EXEC08
LEAD00047,CUST00042,2025-10-31,Google Search,,Godrej Riverine,Qualified,8,Partial,EXEC29
LEAD00048,CUST00042,2026-03-22,Referral,,Godrej Riverine,Qualified,7,No,EXEC03
LEAD00049,CUST00043,2026-08-29,LinkedIn,CAMP062,Godrej Riverine,Qualified,5,Yes,EXEC13
LEAD00050,CUST00044,2026-09-30,Facebook,CAMP031,Godrej Riverine,Not Interested / Lost,6,Partial,EXEC29
LEAD00051,CUST00045,2026-09-10,99acres,,Godrej Riverine,Not Interested / Lost,3,No,EXEC26
LEAD00052,CUST00046,2026-05-09,Facebook,CAMP139,Godrej Riverine,Qualified,6,Yes,EXEC19
LEAD00053,CUST00047,2024-02-22,Housing.com,,Godrej Riverine,Contacted,6,No,EXEC19
LEAD00054,CUST00048,2024-01-02,Referral,,Godrej Riverine,Converted,7,Yes,EXEC07
LEAD00055,CUST00049,2025-10-23,Google Ads,CAMP084,Godrej Riverine,Qualified,10,Yes,EXEC08
LEAD00056,CUST00050,2025-05-16,MagicBricks,,Godrej Riverine,Contacted,6,Yes,EXEC22
LEAD00057,CUST00050,2025-09-25,Housing.com,,Godrej Riverine,Negotiation,8,Yes,EXEC23
LEAD00058,CUST00051,2026-06-10,LinkedIn,CAMP102,Godrej Riverine,Contacted,5,Yes,EXEC16
LEAD00059,CUST00052,2024-12-13,Google Search,,Godrej Riverine,Contacted,5,Partial,EXEC19
LEAD00060,CUST00053,2026-08-22,MagicBricks,,Godrej Riverine,Not Interested / Lost,8,Yes,EXEC25
LEAD00061,CUST00054,2024-06-13,Newspaper Insert,CAMP028,Godrej Riverine,Qualified,6,No,EXEC19
LEAD00062,CUST00055,2026-01-18,LinkedIn,CAMP063,Godrej Riverine,Qualified,7,No,EXEC28
LEAD00063,CUST00056,2025-05-14,Walk-In,,Godrej Riverine,Contacted,3,Yes,EXEC08
LEAD00064,CUST00057,2025-03-24,Google Ads,CAMP127,Godrej Riverine,Qualified,8,Partial,EXEC28
LEAD00065,CUST00058,2026-08-23,Walk-In,,Godrej Riverine,Contacted,4,Partial,EXEC09
LEAD00066,CUST00058,2026-12-31,MagicBricks,,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC01
LEAD00067,CUST00058,2026-12-31,Facebook,CAMP043,Godrej Riverine,Site Visit Scheduled,8,Partial,EXEC03
LEAD00068,CUST00058,2026-12-31,Instagram,CAMP088,Godrej Riverine,Contacted,4,Yes,EXEC14
LEAD00069,CUST00059,2025-03-25,Instagram,CAMP037,Godrej Riverine,Not Interested / Lost,6,No,EXEC24
