Survey_ID,Lead_ID,Trust_Score,FOMO_Score,Luxury_Score,Investment_Score,Price_Sensitivity,Transparency_Rating,Booking_Decision
SURV00001,LEAD00005,9,5,2,5,5,9,Yes
SURV00002,LEAD00006,9,10,2,9,5,10,Yes
SURV00003,LEAD00006,9,6,1,8,6,8,Yes
SURV00004,LEAD00008,6,7,6,6,3,6,Yes
SURV00005,LEAD00015,7,7,2,4,8,8,No
SURV00006,LEAD00018,9,7,5,4,5,8,No
SURV00007,LEAD00018,7,5,4,4,5,7,No
SURV00008,LEAD00018,6,6,5,6,6,7,No
SURV00009,LEAD00021,8,6,2,4,4,7,No
SURV00010,LEAD00024,5,6,4,1,5,6,No
SURV00011,LEAD00025,5,1,2,5,7,6,No
SURV00012,LEAD00028,4,5,4,3,3,2,No
SURV00013,LEAD00033,4,6,4,4,7,4,No
SURV00014,LEAD00034,9,6,6,3,6,10,No
SURV00015,LEAD00035,4,8,1,9,8,3,No
SURV00016,LEAD00035,7,6,1,4,7,7,No
SURV00017,LEAD00038,5,4,5,3,6,4,No
SURV00018,LEAD00043,6,4,3,2,6,6,Yes
SURV00019,LEAD00044,10,7,3,3,4,10,Yes
SURV00020,LEAD00046,9,9,3,8,7,10,No
SURV00021,LEAD00046,7,7,2,6,8,8,No
SURV00022,LEAD00047,9,8,3,7,6,9,No
SURV00023,LEAD00048,7,10,1,8,6,5,No
SURV00024,LEAD00048,10,5,2,6,6,9,No
SURV00025,LEAD00049,5,6,1,6,6,4,No
SURV00026,LEAD00052,6,6,4,3,4,6,No
SURV00027,LEAD00054,9,7,3,1,5,8,Yes
SURV00028,LEAD00054,9,6,5,4,5,9,No
SURV00029,LEAD00055,6,4,3,1,5,6,No
SURV00030,LEAD00057,7,8,3,8,4,7,No
SURV00031,LEAD00061,8,4,5,5,4,9,No
SURV00032,LEAD00062,7,5,4,5,6,6,No
SURV00033,LEAD00064,4,8,3,7,6,4,No
SURV00034,LEAD00067,8,6,5,2,5,9,No
SURV00035,LEAD00070,5,5,4,4,9,4,No
SURV00036,LEAD00073,6,6,6,5,6,6,Yes
SURV00037,LEAD00073,6,4,7,7,7,8,No
SURV00038,LEAD00076,4,8,3,6,4,3,No
SURV00039,LEAD00076,6,8,4,3,4,4,No
SURV00040,LEAD00078,8,5,5,3,9,6,Yes
SURV00041,LEAD00081,9,7,5,6,6,10,No
SURV00042,LEAD00081,10,5,5,3,5,9,Yes
SURV00043,LEAD00081,9,6,3,3,5,10,Yes
SURV00044,LEAD00083,5,5,2,10,7,5,No
SURV00045,LEAD00087,6,2,7,8,4,6,No
SURV00046,LEAD00089,8,6,1,8,6,7,No
SURV00047,LEAD00091,8,9,2,4,5,7,Yes
SURV00048,LEAD00093,7,4,1,5,8,7,No
SURV00049,LEAD00093,5,6,1,3,8,5,No
SURV00050,LEAD00094,7,7,3,6,5,9,No
SURV00051,LEAD00094,6,5,1,5,6,6,No
SURV00052,LEAD00101,6,7,4,7,4,5,Yes
SURV00053,LEAD00101,8,9,2,7,6,7,Yes
SURV00054,LEAD00102,5,6,4,5,3,5,No
SURV00055,LEAD00102,6,7,4,6,6,6,Yes
SURV00056,LEAD00104,7,5,5,3,7,8,No
SURV00057,LEAD00104,7,6,2,3,9,8,No
SURV00058,LEAD00105,5,3,3,4,5,5,No
SURV00059,LEAD00105,6,3,7,4,2,5,No
SURV00060,LEAD00106,10,6,3,3,6,10,No
SURV00061,LEAD00106,8,7,4,4,6,8,Yes
SURV00062,LEAD00108,8,5,5,4,7,9,Yes
SURV00063,LEAD00109,6,5,2,2,6,5,No
SURV00064,LEAD00110,7,6,10,5,5,7,No
SURV00065,LEAD00113,8,8,6,3,5,6,No
SURV00066,LEAD00113,10,8,3,4,5,10,No
SURV00067,LEAD00113,10,7,4,2,3,8,Yes
SURV00068,LEAD00115,7,5,3,3,7,8,No
SURV00069,LEAD00118,7,6,3,8,2,6,No
SURV00070,LEAD00119,7,7,4,8,3,8,Yes
SURV00071,LEAD00119,7,7,4,9,3,8,No
SURV00072,LEAD00119,5,5,4,8,7,2,No
SURV00073,LEAD00123,5,8,4,5,7,5,No
SURV00074,LEAD00125,6,4,5,4,5,7,No
SURV00075,LEAD00127,5,6,2,6,8,6,No
SURV00076,LEAD00128,7,7,8,8,3,6,Yes
SURV00077,LEAD00128,10,7,4,9,2,9,Yes
SURV00078,LEAD00129,4,4,3,5,6,5,No
SURV00079,LEAD00130,8,5,3,4,4,9,No
SURV00080,LEAD00130,3,3,2,3,6,2,No
