Visit_ID,Lead_ID,Visit_Date,Sales_Executive_ID,Visit_Rating,Family_Attended,Sample_Flat,Visit_Duration,Booking_Probability
VISIT00001,LEAD00005,2025-05-12,EXEC12,4,No,4BHK,83,0.72
VISIT00002,LEAD00006,2025-07-14,EXEC20,4,Yes,3BHK,87,0.81
VISIT00003,LEAD00006,2025-08-31,EXEC20,5,Yes,3BHK,115,0.97
VISIT00004,LEAD00008,2025-11-25,EXEC09,4,No,3BHK,117,0.47
VISIT00005,LEAD00015,2024-05-28,EXEC12,4,No,3BHK,119,0.38
VISIT00006,LEAD00018,2026-06-10,EXEC25,4,Yes,3BHK,115,0.69
VISIT00007,LEAD00018,2026-06-22,EXEC25,4,Yes,3BHK,109,0.71
VISIT00008,LEAD00018,2026-08-13,EXEC25,3,Yes,5BHK,105,0.68
VISIT00009,LEAD00021,2025-08-10,EXEC25,4,No,5BHK,81,0.44
VISIT00010,LEAD00024,2026-11-19,EXEC17,4,Yes,4BHK,118,0.47
VISIT00011,LEAD00025,2026-12-12,EXEC25,1,No,3BHK,111,0.12
VISIT00012,LEAD00028,2026-06-10,EXEC11,4,No,4BHK,126,0.42
VISIT00013,LEAD00033,2026-03-13,EXEC08,4,Yes,3BHK,105,0.52
VISIT00014,LEAD00034,2025-10-09,EXEC08,3,Yes,4BHK,123,0.4
VISIT00015,LEAD00035,2026-11-11,EXEC19,4,Yes,4BHK,116,0.53
VISIT00016,LEAD00035,2026-12-12,EXEC19,4,Yes,3BHK,105,0.68
VISIT00017,LEAD00038,2025-05-30,EXEC02,4,No,3BHK,115,0.43
VISIT00018,LEAD00043,2025-11-13,EXEC24,4,Yes,3BHK,100,0.65
VISIT00019,LEAD00044,2026-11-29,EXEC18,4,Yes,4BHK,114,0.82
VISIT00020,LEAD00046,2026-10-20,EXEC08,4,Yes,3BHK,129,0.81
VISIT00021,LEAD00046,2026-11-16,EXEC08,4,Yes,4BHK,111,0.97
VISIT00022,LEAD00047,2025-11-21,EXEC29,4,Yes,3BHK,103,0.44
VISIT00023,LEAD00048,2026-03-27,EXEC03,4,Yes,4BHK,130,0.49
VISIT00024,LEAD00048,2026-05-20,EXEC03,4,Yes,3BHK,84,0.57
VISIT00025,LEAD00049,2026-09-12,EXEC13,4,Yes,5BHK,103,0.48
VISIT00026,LEAD00052,2026-05-31,EXEC19,5,Yes,3BHK,110,0.5
VISIT00027,LEAD00054,2024-01-13,EXEC07,5,Yes,3BHK,131,0.89
VISIT00028,LEAD00054,2024-01-31,EXEC07,4,No,4BHK,102,0.83
VISIT00029,LEAD00055,2025-11-03,EXEC08,4,Yes,4BHK,117,0.46
VISIT00030,LEAD00057,2025-10-19,EXEC23,4,Yes,4BHK,116,0.6
VISIT00031,LEAD00061,2024-06-20,EXEC19,3,No,3BHK,92,0.25
VISIT00032,LEAD00062,2026-01-27,EXEC28,4,No,3BHK,133,0.41
VISIT00033,LEAD00064,2025-04-17,EXEC28,5,Yes,3BHK,119,0.65
VISIT00034,LEAD00067,2026-12-31,EXEC03,5,Yes,5BHK,116,0.57
VISIT00035,LEAD00070,2024-06-28,EXEC03,3,Yes,3BHK,103,0.3
VISIT00036,LEAD00073,2025-02-05,EXEC19,4,No,4BHK,128,0.52
VISIT00037,LEAD00073,2025-03-03,EXEC19,3,Yes,3BHK,105,0.4
VISIT00038,LEAD00076,2024-08-31,EXEC05,3,Yes,4BHK,91,0.32
VISIT00039,LEAD00076,2024-10-13,EXEC05,5,Yes,3BHK,88,0.74
VISIT00040,LEAD00078,2024-07-30,EXEC01,4,Yes,3BHK,119,0.82
VISIT00041,LEAD00081,2026-12-31,EXEC01,4,No,3BHK,124,0.72
VISIT00042,LEAD00081,2026-12-31,EXEC01,5,Yes,3BHK,74,0.93
VISIT00043,LEAD00081,2026-12-31,EXEC01,4,Yes,3BHK,89,0.97
VISIT00044,LEAD00083,2024-09-20,EXEC25,4,Yes,4BHK,108,0.43
VISIT00045,LEAD00087,2024-07-14,EXEC23,3,Yes,4BHK,83,0.34
VISIT00046,LEAD00089,2024-10-25,EXEC07,4,No,3BHK,92,0.4
VISIT00047,LEAD00091,2024-11-23,EXEC17,5,No,3BHK,91,0.89
VISIT00048,LEAD00093,2025-06-10,EXEC20,2,No,5BHK,90,0.25
VISIT00049,LEAD00093,2025-07-10,EXEC20,3,No,3BHK,95,0.41
VISIT00050,LEAD00094,2025-10-19,EXEC30,4,Yes,3BHK,92,0.48
VISIT00051,LEAD00094,2025-11-03,EXEC30,5,Yes,4BHK,96,0.74
VISIT00052,LEAD00101,2025-10-25,EXEC16,4,Yes,3BHK,102,0.82
VISIT00053,LEAD00101,2025-11-21,EXEC16,5,Yes,3BHK,125,0.97
VISIT00054,LEAD00102,2026-05-21,EXEC13,4,No,4BHK,90,0.45
VISIT00055,LEAD00102,2026-07-10,EXEC13,4,No,3BHK,118,0.42
VISIT00056,LEAD00104,2026-09-28,EXEC14,3,No,3BHK,55,0.45
VISIT00057,LEAD00104,2026-11-14,EXEC14,4,No,3BHK,120,0.7
VISIT00058,LEAD00105,2025-03-19,EXEC20,3,Yes,4BHK,132,0.36
VISIT00059,LEAD00105,2025-05-02,EXEC20,4,Yes,4BHK,89,0.69
VISIT00060,LEAD00106,2025-10-15,EXEC22,5,Yes,4BHK,72,0.94
VISIT00061,LEAD00106,2025-11-24,EXEC22,4,Yes,4BHK,143,0.86
VISIT00062,LEAD00108,2024-09-11,EXEC07,4,Yes,4BHK,75,0.75
VISIT00063,LEAD00109,2026-06-27,EXEC11,5,Yes,5BHK,121,0.57
VISIT00064,LEAD00110,2024-06-21,EXEC15,4,No,4BHK,56,0.58
